                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5715,                 3.9554,                0.96626,                 0.8336,                 0.4006,                0.55837,                0.36053,                   1.34,                 2.3007,                0.90335,             0.00041291,             0.00041291,             0.00041291
                      2,                 1.4438,                 2.1719,                0.94101,                0.82677,                0.65278,                0.76408,                0.51208,                 1.1029,                 1.0126,                0.85868,             0.00082684,             0.00082684,             0.00082684
                      3,                 1.3601,                 1.5891,                 0.9351,                0.81781,                0.71348,                0.79808,                0.49635,                 1.2551,                0.96732,                0.88809,               0.001238,               0.001238,               0.001238
                      4,                 1.3055,                 1.2568,                0.91331,                0.92889,                0.67311,                0.81634,                0.53805,                 1.0911,                0.86687,                0.85718,              0.0012376,              0.0012376,              0.0012376
                      5,                 1.2757,                 1.0613,                 0.9087,                0.89843,                0.71101,                0.80438,                0.52289,                  1.128,                0.81217,                0.86194,              0.0012335,              0.0012335,              0.0012335
                      6,                 1.2684,                0.97426,                0.91223,                0.87673,                 0.6813,                0.79912,                0.52263,                 1.2005,                0.88744,                 0.8757,              0.0012294,              0.0012294,              0.0012294
                      7,                 1.2341,                0.88135,                0.89955,                0.91325,                0.78447,                0.86734,                0.55674,                 1.1238,                0.71318,                0.86156,              0.0012252,              0.0012252,              0.0012252
                      8,                  1.246,                0.86787,                0.90057,                0.94302,                0.73722,                0.85276,                0.57885,                  1.036,                0.72363,                0.84687,              0.0012211,              0.0012211,              0.0012211
                      9,                 1.2068,                0.80551,                0.89289,                0.90931,                0.70116,                0.84604,                0.55238,                 1.0536,                0.86038,                0.84731,               0.001217,               0.001217,               0.001217
                     10,                 1.1825,                0.79378,                0.88092,                0.90594,                0.75802,                0.85809,                0.55857,                 1.1018,                0.70567,                0.85217,              0.0012129,              0.0012129,              0.0012129
                     11,                 1.1819,                0.77848,                0.88886,                 0.8946,                0.78238,                0.87391,                0.59155,                 1.0681,                0.71323,                0.84423,              0.0012087,              0.0012087,              0.0012087
                     12,                 1.2087,                0.78694,                0.88793,                 0.9078,                0.81414,                0.88839,                0.60491,                0.98065,                0.63734,                0.83749,              0.0012046,              0.0012046,              0.0012046
                     13,                 1.1701,                0.72186,                0.88719,                0.92342,                0.79349,                0.88825,                0.59449,                0.99265,                0.64904,                0.83902,              0.0012005,              0.0012005,              0.0012005
                     14,                 1.1546,                0.70612,                0.87445,                0.97198,                 0.7773,                0.87912,                0.60034,                0.98405,                 0.6715,                0.83554,              0.0011964,              0.0011964,              0.0011964
                     15,                 1.1415,                0.69143,                0.86574,                0.92916,                0.81019,                0.89875,                0.60072,                 1.0058,                0.60656,                 0.8408,              0.0011922,              0.0011922,              0.0011922
                     16,                 1.1383,                0.70264,                0.87849,                0.89762,                 0.8282,                0.88363,                0.61889,                0.95903,                0.67012,                0.83077,              0.0011881,              0.0011881,              0.0011881
                     17,                 1.1414,                0.68926,                0.87248,                0.88759,                0.82472,                0.88726,                0.63572,                0.92501,                0.58692,                0.82744,               0.001184,               0.001184,               0.001184
                     18,                 1.1129,                0.65639,                0.87153,                0.92695,                0.84065,                0.90158,                0.60526,                0.98614,                  0.609,                0.83526,              0.0011799,              0.0011799,              0.0011799
                     19,                 1.1286,                0.66563,                0.87082,                0.96967,                0.80171,                0.91264,                0.61494,                0.99612,                0.62333,                0.83369,              0.0011757,              0.0011757,              0.0011757
                     20,                 1.1133,                0.66856,                0.86732,                0.92791,                 0.7973,                0.89443,                0.59599,                0.94233,                0.61438,                0.82995,              0.0011716,              0.0011716,              0.0011716
                     21,                 1.1073,                0.66943,                0.86089,                0.94388,                0.76892,                0.88554,                0.60395,                0.99085,                0.62295,                0.83371,              0.0011675,              0.0011675,              0.0011675
                     22,                 1.0958,                0.65428,                0.86478,                 0.8916,                0.84177,                0.90447,                0.62965,                 0.9405,                0.59978,                0.82596,              0.0011634,              0.0011634,              0.0011634
                     23,                 1.1118,                0.66692,                0.86873,                0.94444,                0.83067,                0.90356,                 0.6309,                0.87307,                0.56987,                0.81755,              0.0011593,              0.0011593,              0.0011593
                     24,                  1.099,                0.63966,                0.86414,                0.92379,                0.85401,                0.91634,                0.64801,                0.89862,                0.59018,                0.82256,              0.0011551,              0.0011551,              0.0011551
                     25,                 1.0779,                0.61356,                 0.8604,                0.94187,                0.82524,                0.91135,                0.67141,                0.87421,                0.56163,                0.81865,               0.001151,               0.001151,               0.001151
                     26,                 1.0575,                0.61166,                0.85946,                0.94979,                0.84651,                0.92541,                0.64915,                0.91363,                0.56106,                0.81987,              0.0011469,              0.0011469,              0.0011469
                     27,                 1.0595,                0.62228,                0.85822,                0.96358,                0.82796,                 0.9073,                0.63207,                0.88599,                0.56023,                0.81816,              0.0011428,              0.0011428,              0.0011428
                     28,                 1.0699,                0.62203,                0.85829,                0.96296,                0.81722,                0.90719,                0.65499,                0.88417,                0.54557,                0.82082,              0.0011386,              0.0011386,              0.0011386
                     29,                 1.0276,                0.59936,                0.85177,                0.92066,                0.84391,                0.90846,                 0.6494,                0.87002,                0.57089,                0.82128,              0.0011345,              0.0011345,              0.0011345
                     30,                 1.0447,                0.60186,                0.85202,                0.95268,                0.81465,                0.90868,                0.64855,                0.93527,                0.59536,                0.82596,              0.0011304,              0.0011304,              0.0011304
                     31,                 1.0482,                0.59835,                0.85915,                0.96913,                0.81025,                0.90854,                0.64849,                0.89719,                0.58011,                0.82263,              0.0011263,              0.0011263,              0.0011263
                     32,                 1.0227,                0.58231,                 0.8536,                0.94832,                0.82037,                 0.8912,                0.62245,                0.88753,                0.59787,                0.82152,              0.0011221,              0.0011221,              0.0011221
                     33,                 1.0329,                0.59439,                0.85221,                0.95826,                0.84711,                0.90831,                 0.6407,                0.88428,                0.54221,                0.81822,               0.001118,               0.001118,               0.001118
                     34,                 1.0343,                0.60355,                0.85651,                0.94794,                0.77523,                0.89309,                0.63292,                0.94553,                0.61086,                0.82509,              0.0011139,              0.0011139,              0.0011139
                     35,                 1.0509,                0.58943,                0.86066,                0.95585,                0.83421,                0.91548,                0.67523,                 0.8336,                 0.5528,                0.81456,              0.0011098,              0.0011098,              0.0011098
                     36,                 1.0193,                0.58283,                0.84769,                0.95087,                0.84485,                0.90213,                0.64814,                0.86604,                0.55907,                0.81447,              0.0011056,              0.0011056,              0.0011056
                     37,                0.99046,                0.57227,                0.85164,                0.94092,                0.85283,                0.91722,                0.65121,                0.83863,                0.51949,                0.81445,              0.0011015,              0.0011015,              0.0011015
                     38,                 1.0069,                0.56408,                0.85344,                0.92838,                0.85244,                0.90777,                 0.6492,                0.89957,                0.56582,                 0.8151,              0.0010974,              0.0010974,              0.0010974
                     39,                 1.0023,                0.56143,                0.84794,                0.93938,                0.83645,                0.91854,                0.65234,                0.90872,                0.55147,                0.81715,              0.0010933,              0.0010933,              0.0010933
                     40,                 1.0062,                0.57105,                0.85178,                0.95028,                0.81014,                0.90782,                0.66149,                0.88243,                 0.5767,                0.81615,              0.0010891,              0.0010891,              0.0010891
                     41,                0.98655,                0.56675,                0.84393,                0.92514,                0.84389,                0.91349,                0.65183,                0.84422,                0.55124,                0.81089,               0.001085,               0.001085,               0.001085
                     42,                0.98747,                0.55227,                0.85038,                0.96683,                 0.8106,                0.92026,                0.66824,                0.86013,                0.52951,                0.80971,              0.0010809,              0.0010809,              0.0010809
                     43,                0.97388,                0.54413,                0.84793,                0.95214,                0.81194,                0.91094,                0.65721,                0.86435,                0.53205,                0.81766,              0.0010768,              0.0010768,              0.0010768
                     44,                0.99715,                0.55306,                0.85192,                0.93975,                0.81536,                0.91781,                0.66934,                0.85403,                 0.5633,                 0.8152,              0.0010726,              0.0010726,              0.0010726
                     45,                0.97527,                0.54753,                0.84623,                 0.9498,                0.84961,                0.92532,                0.65963,                0.90131,                0.52671,                0.81726,              0.0010685,              0.0010685,              0.0010685
                     46,                0.99698,                0.56985,                0.85242,                0.91219,                0.84205,                0.91347,                0.65265,                0.85756,                0.54357,                0.81328,              0.0010644,              0.0010644,              0.0010644
                     47,                0.96933,                0.54725,                 0.8395,                0.91923,                 0.8445,                0.90741,                0.64607,                0.86374,                 0.5264,                0.81209,              0.0010603,              0.0010603,              0.0010603
                     48,                0.96585,                0.53582,                0.84399,                0.96589,                0.84758,                0.91644,                0.66546,                0.82003,                0.50461,                0.80665,              0.0010561,              0.0010561,              0.0010561
                     49,                0.95472,                0.53204,                0.84401,                0.95187,                 0.8352,                0.91856,                0.66173,                 0.8357,                0.51981,                0.81147,               0.001052,               0.001052,               0.001052
                     50,                0.96045,                0.53165,                0.84339,                0.96975,                0.80113,                 0.9114,                0.65614,                0.85809,                0.54735,                0.81041,              0.0010479,              0.0010479,              0.0010479
                     51,                0.96719,                0.53236,                 0.8378,                0.95205,                0.84028,                0.92021,                0.67251,                0.83346,                0.51326,                0.81104,              0.0010438,              0.0010438,              0.0010438
